Order_ID,Order_Date,Customer_ID,Service_Name,Service_Category,Quantity,Sales_INR,Cost_INR,Profit_INR,Discount_Percent,Order_Status,Salesperson,Payment_Mode,Contract_Months
ORD1001,12/30/2024,C009,Penetration Testing,Security Services,2,140000,60000,80000,0,Cancelled,Priya Nair,Net Banking,3
ORD1002,10/29/2024,C001,AWS Management Package,Cloud Services,2,240000,100000,140000,0,In Progress,Pooja Singh,Bank Transfer,6
ORD1003,11/28/2024,C014,Penetration Testing,Security Services,4,252000,120000,132000,10,Completed,Rohit Sharma,Credit Card,24
ORD1004,10/24/2024,C025,Business Intelligence Report,Analytics,1,65000,28000,37000,0,Completed,Priya Nair,Cheque,12
ORD1005,10/2/2024,C024,IT Support & Maintenance,IT Support,5,175000,75000,100000,0,Completed,Priya Nair,Net Banking,12
ORD1006,11/17/2024,C028,AI/ML Model Development,AI & Automation,5,1400000,600000,800000,0,Cancelled,Priya Nair,Bank Transfer,6
ORD1007,5/28/2024,C028,Penetration Testing,Security Services,1,66500,30000,36500,5,Completed,Sunita Pillai,Cheque,6
ORD1008,7/8/2024,C022,Firewall & Network Security,Security Services,1,45000,20000,25000,10,Cancelled,Amit Verma,Net Banking,6
ORD1009,3/24/2024,C009,Mobile App Development,Development,2,340000,170000,170000,15,Completed,Rohit Sharma,Credit Card,3
ORD1010,6/10/2024,C003,Cybersecurity Audit,Security Services,5,255000,125000,130000,15,Completed,Deepa Iyer,UPI,24
ORD1011,11/25/2024,C009,ERP Implementation,Software License,2,374000,180000,194000,15,In Progress,Arjun Mehta,Cheque,24
ORD1012,10/25/2024,C008,ERP Implementation,Software License,5,1045000,450000,595000,5,Completed,Rohit Sharma,Bank Transfer,6
ORD1013,12/23/2024,C014,API Integration Service,Development,1,83600,38000,45600,5,Completed,Pooja Singh,UPI,12
ORD1014,10/10/2024,C001,Enterprise CRM Software,Software License,5,380000,200000,180000,20,Completed,Kavita Joshi,Bank Transfer,12
ORD1015,9/27/2024,C024,Firewall & Network Security,Security Services,5,200000,100000,100000,20,Completed,Arjun Mehta,Bank Transfer,12
